name_hg38,name,chr,start,end,TargetGene,category,TargetGeneTSS_hg38,chr_hg38,start_hg38,end_hg38
chr11:69296579-69297814,chr11:69064046-69065281,chr11,69064046,69065281,CCND1,putative_enhancer,69641104,chr11,69296579,69297814
chr11:69298418-69298918,chr11:69065885-69066385,chr11,69065885,69066385,CCND1,putative_enhancer,69641104,chr11,69298418,69298918
chr11:69301329-69302366,chr11:69068796-69069833,chr11,69068796,69069833,CCND1,putative_enhancer,69641104,chr11,69301329,69302366
,chr11:69088621-69089984,chr11,69088621,69089984,CCND1,putative_enhancer,69641104,,,
chr11:69335974-69336474,chr11:69150742-69151242,chr11,69150742,69151242,CCND1,putative_enhancer,69641104,chr11,69335974,69336474
chr11:69352659-69353159,chr11:69167427-69167927,chr11,69167427,69167927,CCND1,putative_enhancer,69641104,chr11,69352659,69353159
chr11:69362303-69362803,chr11:69177071-69177571,chr11,69177071,69177571,CCND1,putative_enhancer,69641104,chr11,69362303,69362803
chr11:69377028-69377528,chr11:69191796-69192296,chr11,69191796,69192296,CCND1,putative_enhancer,69641104,chr11,69377028,69377528
chr11:69381966-69382727,chr11:69196734-69197495,chr11,69196734,69197495,CCND1,putative_enhancer,69641104,chr11,69381966,69382727
chr11:69420472-69420972,chr11:69235240-69235740,chr11,69235240,69235740,CCND1,putative_enhancer,69641104,chr11,69420472,69420972
chr11:69436958-69437458,chr11:69251726-69252226,chr11,69251726,69252226,CCND1,putative_enhancer,69641104,chr11,69436958,69437458
chr11:69441899-69442399,chr11:69256667-69257167,chr11,69256667,69257167,CCND1,putative_enhancer,69641104,chr11,69441899,69442399
chr11:69443240-69443740,chr11:69258008-69258508,chr11,69258008,69258508,CCND1,putative_enhancer,69641104,chr11,69443240,69443740
chr11:69449441-69449941,chr11:69264209-69264709,chr11,69264209,69264709,CCND1,putative_enhancer,69641104,chr11,69449441,69449941
chr11:69460504-69461004,chr11:69275272-69275772,chr11,69275272,69275772,CCND1,putative_enhancer,69641104,chr11,69460504,69461004
chr11:69485310-69485810,chr11:69300078-69300578,chr11,69300078,69300578,CCND1,putative_enhancer,69641104,chr11,69485310,69485810
chr11:69497094-69497594,chr11:69311862-69312362,chr11,69311862,69312362,CCND1,putative_enhancer,69641104,chr11,69497094,69497594
chr11:69509298-69509798,chr11:69324066-69324566,chr11,69324066,69324566,CCND1,putative_enhancer,69641104,chr11,69509298,69509798
chr11:69525683-69526183,chr11:69340451-69340951,chr11,69340451,69340951,CCND1,putative_enhancer,69641104,chr11,69525683,69526183
chr11:69587442-69588111,chr11:69402210-69402879,chr11,69402210,69402879,CCND1,putative_enhancer,69641104,chr11,69587442,69588111
chr11:69588222-69588807,chr11:69402990-69403575,chr11,69402990,69403575,CCND1,putative_enhancer,69641104,chr11,69588222,69588807
chr11:69593774-69594274,chr11:69408542-69409042,chr11,69408542,69409042,CCND1,putative_enhancer,69641104,chr11,69593774,69594274
chr11:69598104-69598604,chr11:69412872-69413372,chr11,69412872,69413372,CCND1,putative_enhancer,69641104,chr11,69598104,69598604
chr11:69600536-69601036,chr11:69415304-69415804,chr11,69415304,69415804,CCND1,putative_enhancer,69641104,chr11,69600536,69601036
chr11:69629992-69630492,chr11:69444760-69445260,chr11,69444760,69445260,CCND1,putative_enhancer,69641104,chr11,69629992,69630492
chr11:69636212-69636869,chr11:69450980-69451637,chr11,69450980,69451637,CCND1,putative_enhancer,69641104,chr11,69636212,69636869
chr11:69637976-69639354,chr11:69452744-69454122,chr11,69452744,69454122,CCND1,putative_enhancer,69641104,chr11,69637976,69639354
chr11:69640512-69641680,chr11:69455280-69456448,chr11,69455280,69456448,CCND1,TSS,69641104,chr11,69640512,69641680
chr11:69661924-69662424,chr11:69476692-69477192,chr11,69476692,69477192,CCND1,putative_enhancer,69641104,chr11,69661924,69662424
chr11:69670163-69670663,chr11:69484931-69485431,chr11,69484931,69485431,CCND1,putative_enhancer,69641104,chr11,69670163,69670663
chr11:69675147-69675866,chr11:69489915-69490634,chr11,69489915,69490634,CCND1,putative_enhancer,69641104,chr11,69675147,69675866
chr11:69683799-69684299,chr11:69498567-69499067,chr11,69498567,69499067,CCND1,putative_enhancer,69641104,chr11,69683799,69684299
chr11:69685824-69686324,chr11:69500592-69501092,chr11,69500592,69501092,CCND1,putative_enhancer,69641104,chr11,69685824,69686324
chr11:69687870-69688929,chr11:69502638-69503697,chr11,69502638,69503697,CCND1,putative_enhancer,69641104,chr11,69687870,69688929
chr11:69691448-69691948,chr11:69506216-69506716,chr11,69506216,69506716,CCND1,putative_enhancer,69641104,chr11,69691448,69691948
chr11:69696820-69697635,chr11:69511588-69512403,chr11,69511588,69512403,CCND1,putative_enhancer,69641104,chr11,69696820,69697635
chr11:69700537-69701260,chr11:69515305-69516028,chr11,69515305,69516028,CCND1,putative_enhancer,69641104,chr11,69700537,69701260
chr11:69702347-69702847,chr11:69517115-69517615,chr11,69517115,69517615,CCND1,putative_enhancer,69641104,chr11,69702347,69702847
chr11:69703084-69703584,chr11:69517852-69518352,chr11,69517852,69518352,CCND1,putative_enhancer,69641104,chr11,69703084,69703584
chr11:69703853-69704949,chr11:69518621-69519717,chr11,69518621,69519717,CCND1,putative_enhancer,69641104,chr11,69703853,69704949
chr11:69707067-69707567,chr11:69521835-69522335,chr11,69521835,69522335,CCND1,putative_enhancer,69641104,chr11,69707067,69707567
chr11:69709046-69709546,chr11:69523814-69524314,chr11,69523814,69524314,CCND1,putative_enhancer,69641104,chr11,69709046,69709546
chr11:69711878-69712722,chr11:69526646-69527490,chr11,69526646,69527490,CCND1,putative_enhancer,69641104,chr11,69711878,69712722
chr11:69713177-69713677,chr11:69527945-69528445,chr11,69527945,69528445,CCND1,putative_enhancer,69641104,chr11,69713177,69713677
chr11:69718079-69718579,chr11:69532847-69533347,chr11,69532847,69533347,CCND1,putative_enhancer,69641104,chr11,69718079,69718579
chr11:69721703-69722203,chr11:69536471-69536971,chr11,69536471,69536971,CCND1,putative_enhancer,69641104,chr11,69721703,69722203
chr11:69736974-69737474,chr11:69551742-69552242,chr11,69551742,69552242,CCND1,putative_enhancer,69641104,chr11,69736974,69737474
chr11:69770469-69770969,chr11:69585237-69585737,chr11,69585237,69585737,CCND1,putative_enhancer,69641104,chr11,69770469,69770969
chr11:69791280-69791780,chr11:69606048-69606548,chr11,69606048,69606548,CCND1,putative_enhancer,69641104,chr11,69791280,69791780
chr11:69799483-69799983,chr11:69614251-69614751,chr11,69614251,69614751,CCND1,putative_enhancer,69641104,chr11,69799483,69799983
chr11:69801406-69801906,chr11:69616174-69616674,chr11,69616174,69616674,CCND1,putative_enhancer,69641104,chr11,69801406,69801906
chr11:69817077-69818321,chr11:69631845-69633089,chr11,69631845,69633089,CCND1,putative_enhancer,69641104,chr11,69817077,69818321
chr11:69825013-69825914,chr11:69639781-69640682,chr11,69639781,69640682,CCND1,putative_enhancer,69641104,chr11,69825013,69825914
chr11:69840204-69841593,chr11:69654972-69656361,chr11,69654972,69656361,CCND1,putative_enhancer,69641104,chr11,69840204,69841593
chr11:69842044-69842544,chr11:69656812-69657312,chr11,69656812,69657312,CCND1,putative_enhancer,69641104,chr11,69842044,69842544
chr11:69854643-69855143,chr11:69669411-69669911,chr11,69669411,69669911,CCND1,putative_enhancer,69641104,chr11,69854643,69855143
chr11:69867559-69868059,chr11:69682327-69682827,chr11,69682327,69682827,CCND1,putative_enhancer,69641104,chr11,69867559,69868059
chr11:69888479-69889259,chr11:69703247-69704027,chr11,69703247,69704027,CCND1,putative_enhancer,69641104,chr11,69888479,69889259
chr11:69892557-69893057,chr11:69707325-69707825,chr11,69707325,69707825,CCND1,putative_enhancer,69641104,chr11,69892557,69893057
chr11:69900505-69901086,chr11:69715264-69715845,chr11,69715264,69715845,CCND1,putative_enhancer,69641104,chr11,69900505,69901086
chr11:69906471-69906971,chr11:69721208-69721708,chr11,69721208,69721708,CCND1,putative_enhancer,69641104,chr11,69906471,69906971
chr11:69908549-69909049,chr11:69723285-69723785,chr11,69723285,69723785,CCND1,putative_enhancer,69641104,chr11,69908549,69909049
chr11:69934841-69935556,chr11:69780943-69781658,chr11,69780943,69781658,CCND1,putative_enhancer,69641104,chr11,69934841,69935556
chr11:69943027-69943527,chr11:69789133-69789633,chr11,69789133,69789633,CCND1,putative_enhancer,69641104,chr11,69943027,69943527
chr11:69947634-69950454,chr11:69793740-69796560,chr11,69793740,69796560,CCND1,putative_enhancer,69641104,chr11,69947634,69950454
chr11:69961944-69962905,chr11:69808050-69809011,chr11,69808050,69809011,CCND1,putative_enhancer,69641104,chr11,69961944,69962905
chr11:70016936-70017436,chr11:69863042-69863542,chr11,69863042,69863542,CCND1,putative_enhancer,69641104,chr11,70016936,70017436
chr11:70022838-70023338,chr11:69868944-69869444,chr11,69868944,69869444,CCND1,putative_enhancer,69641104,chr11,70022838,70023338
chr11:70048517-70049152,chr11:69894623-69895258,chr11,69894623,69895258,CCND1,putative_enhancer,69641104,chr11,70048517,70049152
chr11:70063485-70063985,chr11:69909591-69910091,chr11,69909591,69910091,CCND1,putative_enhancer,69641104,chr11,70063485,70063985
chr11:70067612-70068448,chr11:69913718-69914554,chr11,69913718,69914554,CCND1,putative_enhancer,69641104,chr11,70067612,70068448
chr11:70077746-70078902,chr11:69923852-69925008,chr11,69923852,69925008,CCND1,putative_enhancer,69641104,chr11,70077746,70078902
chr11:70079736-70080236,chr11:69925842-69926342,chr11,69925842,69926342,CCND1,putative_enhancer,69641104,chr11,70079736,70080236
chr11:70080730-70081370,chr11:69926836-69927476,chr11,69926836,69927476,CCND1,putative_enhancer,69641104,chr11,70080730,70081370
chr11:70111575-70112075,chr11:69957681-69958181,chr11,69957681,69958181,CCND1,putative_enhancer,69641104,chr11,70111575,70112075
chr11:70128311-70128811,chr11:69974417-69974917,chr11,69974417,69974917,CCND1,putative_enhancer,69641104,chr11,70128311,70128811
chr11:70139929-70140429,chr11:69986035-69986535,chr11,69986035,69986535,CCND1,putative_enhancer,69641104,chr11,70139929,70140429
chr11:70142127-70143042,chr11:69988233-69989148,chr11,69988233,69989148,CCND1,putative_enhancer,69641104,chr11,70142127,70143042
chr11:70158093-70158593,chr11:70004199-70004699,chr11,70004199,70004699,CCND1,putative_enhancer,69641104,chr11,70158093,70158593
chr11:70159341-70160046,chr11:70005447-70006152,chr11,70005447,70006152,CCND1,putative_enhancer,69641104,chr11,70159341,70160046
chr11:70160188-70160688,chr11:70006294-70006794,chr11,70006294,70006794,CCND1,putative_enhancer,69641104,chr11,70160188,70160688
chr11:70177242-70177742,chr11:70023348-70023848,chr11,70023348,70023848,CCND1,putative_enhancer,69641104,chr11,70177242,70177742
chr11:70191467-70191967,chr11:70037573-70038073,chr11,70037573,70038073,CCND1,putative_enhancer,69641104,chr11,70191467,70191967
chr11:70196056-70196556,chr11:70042162-70042662,chr11,70042162,70042662,CCND1,putative_enhancer,69641104,chr11,70196056,70196556
chr11:70202912-70203742,chr11:70049018-70049848,chr11,70049018,70049848,CCND1,putative_enhancer,69641104,chr11,70202912,70203742
chr11:70203775-70204592,chr11:70049881-70050698,chr11,70049881,70050698,CCND1,putative_enhancer,69641104,chr11,70203775,70204592
chr11:70226891-70227391,chr11:70072997-70073497,chr11,70072997,70073497,CCND1,putative_enhancer,69641104,chr11,70226891,70227391
chr11:70233008-70233912,chr11:70079114-70080018,chr11,70079114,70080018,CCND1,putative_enhancer,69641104,chr11,70233008,70233912
chr11:70269687-70270949,chr11:70115793-70117055,chr11,70115793,70117055,CCND1,putative_enhancer,69641104,chr11,70269687,70270949
chr11:70362998-70363498,chr11:70209104-70209604,chr11,70209104,70209604,CCND1,putative_enhancer,69641104,chr11,70362998,70363498
chr11:70378676-70379176,chr11:70224782-70225282,chr11,70224782,70225282,CCND1,putative_enhancer,69641104,chr11,70378676,70379176
chr11:70381981-70382481,chr11:70228087-70228587,chr11,70228087,70228587,CCND1,putative_enhancer,69641104,chr11,70381981,70382481
chr11:70389732-70390232,chr11:70235838-70236338,chr11,70235838,70236338,CCND1,putative_enhancer,69641104,chr11,70389732,70390232
chr11:70397648-70398755,chr11:70243754-70244861,chr11,70243754,70244861,CCND1,putative_enhancer,69641104,chr11,70397648,70398755
chr11:70399382-70400214,chr11:70245488-70246320,chr11,70245488,70246320,CCND1,putative_enhancer,69641104,chr11,70399382,70400214
chr11:70448955-70449455,chr11:70295061-70295561,chr11,70295061,70295561,CCND1,putative_enhancer,69641104,chr11,70448955,70449455
chr11:70467429-70467929,chr11:70313534-70314034,chr11,70313534,70314034,CCND1,putative_enhancer,69641104,chr11,70467429,70467929
chr11:70468396-70468896,chr11:70314501-70315001,chr11,70314501,70315001,CCND1,putative_enhancer,69641104,chr11,70468396,70468896
chr11:70471185-70471685,chr11:70317290-70317790,chr11,70317290,70317790,CCND1,putative_enhancer,69641104,chr11,70471185,70471685
chr11:70482053-70482630,chr11:70328158-70328735,chr11,70328158,70328735,CCND1,putative_enhancer,69641104,chr11,70482053,70482630
chr11:70482930-70483843,chr11:70329035-70329948,chr11,70329035,70329948,CCND1,putative_enhancer,69641104,chr11,70482930,70483843
chr11:70490664-70491164,chr11:70336769-70337269,chr11,70336769,70337269,CCND1,putative_enhancer,69641104,chr11,70490664,70491164
chr11:70503774-70504274,chr11:70349879-70350379,chr11,70349879,70350379,CCND1,putative_enhancer,69641104,chr11,70503774,70504274
chr11:70511286-70511786,chr11:70357391-70357891,chr11,70357391,70357891,CCND1,putative_enhancer,69641104,chr11,70511286,70511786
chr11:70519047-70519547,chr11:70365152-70365652,chr11,70365152,70365652,CCND1,putative_enhancer,69641104,chr11,70519047,70519547
chr11:70528042-70528542,chr11:70374147-70374647,chr11,70374147,70374647,CCND1,putative_enhancer,69641104,chr11,70528042,70528542
chr11:70545093-70545593,chr11:70391198-70391698,chr11,70391198,70391698,CCND1,putative_enhancer,69641104,chr11,70545093,70545593
chr11:70556769-70557499,chr11:70402874-70403604,chr11,70402874,70403604,CCND1,putative_enhancer,69641104,chr11,70556769,70557499
chr11:70567984-70568885,chr11:70414089-70414990,chr11,70414089,70414990,CCND1,putative_enhancer,69641104,chr11,70567984,70568885
,nc_CCND1,chr0,0,0,CCND1,negative_control,69641104,,,
chr7:120337223-120337723,chr7:119977277-119977777,chr7,119977277,119977777,FAM3C,putative_enhancer,121396368,chr7,120337223,120337723
chr7:120370928-120371428,chr7:120010982-120011482,chr7,120010982,120011482,FAM3C,putative_enhancer,121396368,chr7,120370928,120371428
chr7:120403971-120404471,chr7:120044025-120044525,chr7,120044025,120044525,FAM3C,putative_enhancer,121396368,chr7,120403971,120404471
chr7:120554905-120555405,chr7:120194959-120195459,chr7,120194959,120195459,FAM3C,putative_enhancer,121396368,chr7,120554905,120555405
chr7:120583732-120584232,chr7:120223786-120224286,chr7,120223786,120224286,FAM3C,putative_enhancer,121396368,chr7,120583732,120584232
chr7:120615597-120616097,chr7:120255651-120256151,chr7,120255651,120256151,FAM3C,putative_enhancer,121396368,chr7,120615597,120616097
chr7:120725355-120725855,chr7:120365409-120365909,chr7,120365409,120365909,FAM3C,putative_enhancer,121396368,chr7,120725355,120725855
chr7:120733115-120733615,chr7:120373169-120373669,chr7,120373169,120373669,FAM3C,putative_enhancer,121396368,chr7,120733115,120733615
chr7:120758181-120758681,chr7:120398235-120398735,chr7,120398235,120398735,FAM3C,putative_enhancer,121396368,chr7,120758181,120758681
chr7:120791944-120792444,chr7:120431998-120432498,chr7,120431998,120432498,FAM3C,putative_enhancer,121396368,chr7,120791944,120792444
chr7:120805792-120806292,chr7:120445846-120446346,chr7,120445846,120446346,FAM3C,putative_enhancer,121396368,chr7,120805792,120806292
chr7:120817829-120818329,chr7:120457883-120458383,chr7,120457883,120458383,FAM3C,putative_enhancer,121396368,chr7,120817829,120818329
chr7:120856590-120858666,chr7:120496644-120498720,chr7,120496644,120498720,FAM3C,putative_enhancer,121396368,chr7,120856590,120858666
chr7:120871391-120871891,chr7:120511445-120511945,chr7,120511445,120511945,FAM3C,putative_enhancer,121396368,chr7,120871391,120871891
chr7:120927723-120928223,chr7:120567777-120568277,chr7,120567777,120568277,FAM3C,putative_enhancer,121396368,chr7,120927723,120928223
chr7:120950420-120951360,chr7:120590474-120591414,chr7,120590474,120591414,FAM3C,putative_enhancer,121396368,chr7,120950420,120951360
chr7:120987545-120988946,chr7:120627599-120629000,chr7,120627599,120629000,FAM3C,putative_enhancer,121396368,chr7,120987545,120988946
chr7:120996267-120996767,chr7:120636321-120636821,chr7,120636321,120636821,FAM3C,putative_enhancer,121396368,chr7,120996267,120996767
chr7:121076263-121076763,chr7:120716317-120716817,chr7,120716317,120716817,FAM3C,putative_enhancer,121396368,chr7,121076263,121076763
chr7:121081275-121081775,chr7:120721329-120721829,chr7,120721329,120721829,FAM3C,putative_enhancer,121396368,chr7,121081275,121081775
chr7:121083018-121083518,chr7:120723072-120723572,chr7,120723072,120723572,FAM3C,putative_enhancer,121396368,chr7,121083018,121083518
chr7:121084736-121085236,chr7:120724790-120725290,chr7,120724790,120725290,FAM3C,putative_enhancer,121396368,chr7,121084736,121085236
chr7:121099424-121100046,chr7:120739478-120740100,chr7,120739478,120740100,FAM3C,putative_enhancer,121396368,chr7,121099424,121100046
chr7:121102577-121103077,chr7:120742631-120743131,chr7,120742631,120743131,FAM3C,putative_enhancer,121396368,chr7,121102577,121103077
chr7:121107868-121108368,chr7:120747922-120748422,chr7,120747922,120748422,FAM3C,putative_enhancer,121396368,chr7,121107868,121108368
chr7:121113300-121113800,chr7:120753354-120753854,chr7,120753354,120753854,FAM3C,putative_enhancer,121396368,chr7,121113300,121113800
chr7:121128052-121128552,chr7:120768106-120768606,chr7,120768106,120768606,FAM3C,putative_enhancer,121396368,chr7,121128052,121128552
chr7:121140728-121141228,chr7:120780782-120781282,chr7,120780782,120781282,FAM3C,putative_enhancer,121396368,chr7,121140728,121141228
chr7:121163633-121164133,chr7:120803687-120804187,chr7,120803687,120804187,FAM3C,putative_enhancer,121396368,chr7,121163633,121164133
chr7:121192230-121192730,chr7:120832284-120832784,chr7,120832284,120832784,FAM3C,putative_enhancer,121396368,chr7,121192230,121192730
chr7:121202810-121203310,chr7:120842864-120843364,chr7,120842864,120843364,FAM3C,putative_enhancer,121396368,chr7,121202810,121203310
chr7:121231806-121232306,chr7:120871860-120872360,chr7,120871860,120872360,FAM3C,putative_enhancer,121396368,chr7,121231806,121232306
chr7:121249378-121249878,chr7:120889432-120889932,chr7,120889432,120889932,FAM3C,putative_enhancer,121396368,chr7,121249378,121249878
chr7:121259786-121260286,chr7:120899840-120900340,chr7,120899840,120900340,FAM3C,putative_enhancer,121396368,chr7,121259786,121260286
chr7:121271571-121272374,chr7:120911625-120912428,chr7,120911625,120912428,FAM3C,putative_enhancer,121396368,chr7,121271571,121272374
chr7:121278244-121279484,chr7:120918298-120919538,chr7,120918298,120919538,FAM3C,putative_enhancer,121396368,chr7,121278244,121279484
chr7:121282167-121283025,chr7:120922221-120923079,chr7,120922221,120923079,FAM3C,putative_enhancer,121396368,chr7,121282167,121283025
chr7:121287111-121287780,chr7:120927165-120927834,chr7,120927165,120927834,FAM3C,putative_enhancer,121396368,chr7,121287111,121287780
chr7:121288741-121289393,chr7:120928795-120929447,chr7,120928795,120929447,FAM3C,putative_enhancer,121396368,chr7,121288741,121289393
chr7:121297808-121298308,chr7:120937862-120938362,chr7,120937862,120938362,FAM3C,putative_enhancer,121396368,chr7,121297808,121298308
chr7:121298480-121299196,chr7:120938534-120939250,chr7,120938534,120939250,FAM3C,putative_enhancer,121396368,chr7,121298480,121299196
chr7:121301407-121302673,chr7:120941461-120942727,chr7,120941461,120942727,FAM3C,putative_enhancer,121396368,chr7,121301407,121302673
chr7:121303504-121304004,chr7:120943558-120944058,chr7,120943558,120944058,FAM3C,putative_enhancer,121396368,chr7,121303504,121304004
chr7:121312948-121314708,chr7:120953002-120954762,chr7,120953002,120954762,FAM3C,putative_enhancer,121396368,chr7,121312948,121314708
chr7:121325116-121325616,chr7:120965170-120965670,chr7,120965170,120965670,FAM3C,putative_enhancer,121396368,chr7,121325116,121325616
chr7:121328684-121329864,chr7:120968738-120969918,chr7,120968738,120969918,FAM3C,putative_enhancer,121396368,chr7,121328684,121329864
chr7:121330002-121330839,chr7:120970056-120970893,chr7,120970056,120970893,FAM3C,putative_enhancer,121396368,chr7,121330002,121330839
chr7:121336475-121336975,chr7:120976529-120977029,chr7,120976529,120977029,FAM3C,putative_enhancer,121396368,chr7,121336475,121336975
chr7:121341749-121343058,chr7:120981803-120983112,chr7,120981803,120983112,FAM3C,putative_enhancer,121396368,chr7,121341749,121343058
