element_name,chr,start,end,name,class,activity_base,activity_base_squared,TargetGene,TargetGeneTSS,TargetGeneExpression,TargetGenePromoterActivityQuantile,TargetGeneIsExpressed,distance,isSelfPromoter,powerlaw_contact,powerlaw_contact_reference,hic_contact,juicebox_contact_values,hic_contact_pl_scaled,hic_pseudocount,hic_contact_pl_scaled_adj,ABC.Score.Numerator,ABC.Score,powerlaw.Score.Numerator,powerlaw.Score,CellType,hic_contact_squared,activity_base+aux,activity_base_squared+aux,TargetGeneExpression+aux,powerlaw_contact+aux,powerlaw_contact_reference+aux,hic_contact+aux,juicebox_contact_values+aux,hic_contact_pl_scaled+aux,hic_pseudocount+aux,hic_contact_pl_scaled_adj+aux,ABC.Score.Numerator+aux,ABC.Score+aux,powerlaw.Score.Numerator+aux,powerlaw.Score+aux,hic_contact_squared+aux,distance kb,Hi-C FC(+aux/-aux),Hi-C log2FC(+aux/-aux),Hi-C log10FC(+aux/-aux)
intergenic|chr12:84032894-84033394|KITLG,chr12,84032894,84033394,intergenic|chr12:84032894-84033394,intergenic,0.421093,0.177319,KITLG,88580473,,0.812428,True,4547329.0,False,0.00016,0.000329,0.0,,0.0,0.00016,0.00016,6.7e-05,2.1e-05,0.000139,6e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.421093,0.177319,,0.000262,0.000329,0.0,,0.0,0.000262,0.000262,0.00011,4.5e-05,0.000139,6e-06,0.0,4547.329,1.6375,0.7114949066500884,0.2141813086638206
intergenic|chr12:84119131-84119631|KITLG,chr12,84119131,84119631,intergenic|chr12:84119131-84119631,intergenic,0.259337,0.067256,KITLG,88580473,,0.812428,True,4461092.0,False,0.000163,0.000335,0.0,,0.0,0.000163,0.000163,4.2e-05,1.3e-05,8.7e-05,3e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.259337,0.067256,,0.000266,0.000335,0.000184,0.000184,0.000184,0.000266,0.000451,0.000117,4.8e-05,8.7e-05,3e-06,0.0,4461.092,2.766871165644172,1.468255469024303,0.4419889374740027
intergenic|chr12:84136725-84137526|KITLG,chr12,84136725,84137526,intergenic|chr12:84136725-84137526,intergenic,1.82644,3.335883,KITLG,88580473,,0.812428,True,4443347.5,False,0.000164,0.000336,0.0,,0.0,0.000164,0.000164,0.0003,9.3e-05,0.000613,2.5e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.82644,3.335883,,0.000267,0.000336,0.000363,0.000363,0.000363,0.000267,0.00063,0.001151,0.000469,0.000613,2.5e-05,0.0,4443.3475,3.841463414634146,1.941656013769196,0.5844967014058837
intergenic|chr12:84382407-84382907|KITLG,chr12,84382407,84382907,intergenic|chr12:84382407-84382907,intergenic,0.442652,0.195941,KITLG,88580473,,0.812428,True,4197816.0,False,0.000174,0.000353,0.0,,0.0,0.000174,0.000174,7.7e-05,2.4e-05,0.000156,6e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.442652,0.195941,,0.000282,0.000353,0.0,,0.0,0.000282,0.000282,0.000125,5.1e-05,0.000156,6e-06,0.0,4197.816,1.620689655172414,0.6966078565500649,0.2096998600367614
intergenic|chr12:84397245-84397745|KITLG,chr12,84397245,84397745,intergenic|chr12:84397245-84397745,intergenic,0.448481,0.201135,KITLG,88580473,,0.812428,True,4182978.0,False,0.000175,0.000354,0.0,,0.0,0.000175,0.000175,7.8e-05,2.4e-05,0.000159,6e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.448481,0.201135,,0.000283,0.000354,0.0,,0.0,0.000283,0.000283,0.000127,5.2e-05,0.000159,6e-06,0.0,4182.978,1.6171428571428572,0.6934471309995534,0.2087483868379958
intergenic|chr12:84497737-84498237|KITLG,chr12,84497737,84498237,intergenic|chr12:84497737-84498237,intergenic,0.491292,0.241368,KITLG,88580473,,0.812428,True,4082486.0,False,0.000179,0.000362,0.0,,0.0,0.000179,0.000179,8.8e-05,2.7e-05,0.000178,7e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.491292,0.241368,,0.000289,0.000362,0.0,,0.0,0.000289,0.000289,0.000142,5.8e-05,0.000178,7e-06,0.0,4082.486,1.6145251396648044,0.6911099052364218,0.2080448117766544
intergenic|chr12:84502440-84502940|KITLG,chr12,84502440,84502940,intergenic|chr12:84502440-84502940,intergenic,0.896967,0.80455,KITLG,88580473,,0.812428,True,4077783.0,False,0.00018,0.000362,0.0,,0.0,0.00018,0.00018,0.000161,5e-05,0.000325,1.3e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.896967,0.80455,,0.00029,0.000362,0.0,,0.0,0.00029,0.00029,0.00026,0.000106,0.000325,1.3e-05,0.0,4077.783,1.611111111111111,0.6880559936852606,0.20712549279565
intergenic|chr12:84503114-84503614|KITLG,chr12,84503114,84503614,intergenic|chr12:84503114-84503614,intergenic,0.941626,0.88666,KITLG,88580473,,0.812428,True,4077109.0,False,0.00018,0.000362,0.0,,0.0,0.00018,0.00018,0.000169,5.2e-05,0.000341,1.4e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.941626,0.88666,,0.00029,0.000362,0.0,,0.0,0.00029,0.00029,0.000273,0.000111,0.000341,1.4e-05,0.0,4077.109,1.611111111111111,0.6880559936852606,0.20712549279565
intergenic|chr12:84508242-84509008|KITLG,chr12,84508242,84509008,intergenic|chr12:84508242-84509008,intergenic,3.518304,12.378463,KITLG,88580473,,0.812428,True,4071848.0,False,0.00018,0.000362,0.0,,0.0,0.00018,0.00018,0.000633,0.000196,0.001275,5.1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,3.518304,12.378463,,0.00029,0.000362,0.0,,0.0,0.00029,0.00029,0.00102,0.000416,0.001275,5.1e-05,0.0,4071.848,1.611111111111111,0.6880559936852606,0.20712549279565
intergenic|chr12:84599532-84600032|KITLG,chr12,84599532,84600032,intergenic|chr12:84599532-84600032,intergenic,1.03068,1.062301,KITLG,88580473,,0.812428,True,3980691.0,False,0.000184,0.00037,0.0,,0.0,0.000184,0.000184,0.00019,5.9e-05,0.000381,1.5e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.03068,1.062301,,0.000296,0.00037,0.0,,0.0,0.000296,0.000296,0.000305,0.000124,0.000381,1.5e-05,0.0,3980.691,1.6086956521739129,0.6858914095719371,0.2064738880494023
intergenic|chr12:84757889-84758389|KITLG,chr12,84757889,84758389,intergenic|chr12:84757889-84758389,intergenic,0.404616,0.163714,KITLG,88580473,,0.812428,True,3822334.0,False,0.000193,0.000383,0.0,,0.0,0.000193,0.000193,7.8e-05,2.4e-05,0.000155,6e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.404616,0.163714,,0.000308,0.000383,0.000355,0.000355,0.000355,0.000308,0.000663,0.000268,0.000109,0.000155,6e-06,0.0,3822.334,3.435233160621761,1.780408022844508,0.5359562193969993
intergenic|chr12:84793491-84793991|KITLG,chr12,84793491,84793991,intergenic|chr12:84793491-84793991,intergenic,0.532028,0.283054,KITLG,88580473,,0.812428,True,3786732.0,False,0.000194,0.000386,0.0,,0.0,0.000194,0.000194,0.000103,3.2e-05,0.000205,8e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.532028,0.283054,,0.00031,0.000386,0.0,,0.0,0.00031,0.00031,0.000165,6.7e-05,0.000205,8e-06,0.0,3786.732,1.597938144329897,0.6762115630871097,0.2035599639040466
intergenic|chr12:84842354-84842854|KITLG,chr12,84842354,84842854,intergenic|chr12:84842354-84842854,intergenic,0.795274,0.632461,KITLG,88580473,,0.812428,True,3737869.0,False,0.000197,0.00039,0.0,,0.0,0.000197,0.000197,0.000157,4.9e-05,0.00031,1.2e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.795274,0.632461,,0.000314,0.00039,0.00018,0.00018,0.00018,0.000314,0.000495,0.000393,0.00016,0.00031,1.2e-05,0.0,3737.869,2.5126903553299496,1.3292328955105963,0.4001389727719759
genic|chr12:84874495-84874995|KITLG,chr12,84874495,84874995,genic|chr12:84874495-84874995,genic,1.250115,1.562788,KITLG,88580473,,0.812428,True,3705728.0,False,0.000199,0.000393,0.0,,0.0,0.000199,0.000199,0.000249,7.7e-05,0.000492,2e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.250115,1.562788,,0.000317,0.000393,0.000191,0.000191,0.000191,0.000317,0.000508,0.000635,0.000259,0.000492,2e-05,0.0,3705.728,2.5527638190954773,1.3520600662285158,0.4070106358742125
promoter|chr12:84912579-84913079|KITLG,chr12,84912579,84913079,promoter|chr12:84912579-84913079,promoter,0.175159,0.030681,KITLG,88580473,,0.812428,True,3667644.0,False,0.000201,0.000397,0.0,,0.0,0.000201,0.000201,3.5e-05,1.1e-05,7e-05,3e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.175159,0.030681,,0.00032,0.000397,0.0,,0.0,0.00032,0.00032,5.6e-05,2.3e-05,7e-05,3e-06,0.0,3667.644,1.592039800995025,0.6708764037084336,0.2019539208994167
intergenic|chr12:85001136-85001636|KITLG,chr12,85001136,85001636,intergenic|chr12:85001136-85001636,intergenic,0.597027,0.356441,KITLG,88580473,,0.812428,True,3579087.0,False,0.000206,0.000405,0.0,,0.0,0.000206,0.000206,0.000123,3.8e-05,0.000242,1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.597027,0.356441,,0.000327,0.000405,0.0,,0.0,0.000327,0.000327,0.000195,8e-05,0.000242,1e-05,0.0,3579.087,1.587378640776699,0.6666462983148644,0.2006805322911327
genic|chr12:85016346-85016846|KITLG,chr12,85016346,85016846,genic|chr12:85016346-85016846,genic,1.746374,3.049822,KITLG,88580473,,0.812428,True,3563877.0,False,0.000207,0.000407,0.0,,0.0,0.000207,0.000207,0.000362,0.000112,0.000711,2.8e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.746374,3.049822,,0.000328,0.000407,0.0,,0.0,0.000328,0.000328,0.000573,0.000234,0.000711,2.8e-05,0.0,3563.877,1.5845410628019323,0.6640650471187595,0.1999034982547614
genic|chr12:85029391-85029891|KITLG,chr12,85029391,85029891,genic|chr12:85029391-85029891,genic,0.549496,0.301946,KITLG,88580473,,0.812428,True,3550832.0,False,0.000208,0.000408,0.000318,0.000318,0.000318,0.000208,0.000526,0.000289,9e-05,0.000224,9e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.549496,0.301946,,0.00033,0.000408,0.0,,0.0,0.00033,0.00033,0.000181,7.4e-05,0.000224,9e-06,0.0,3550.832,0.6273764258555133,-0.6725967750464861,-0.2024718042758517
promoter|chr12:85036027-85036570|KITLG,chr12,85036027,85036570,promoter|chr12:85036027-85036570,promoter,1.642685,2.698414,KITLG,88580473,,0.812428,True,3544174.5,False,0.000209,0.000409,0.0,,0.0,0.000209,0.000209,0.000343,0.000106,0.000672,2.7e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.642685,2.698414,,0.00033,0.000409,0.0,,0.0,0.00033,0.00033,0.000542,0.000221,0.000672,2.7e-05,0.0,3544.1745,1.5789473684210524,0.6589630821649326,0.1983676537668333
genic|chr12:85057307-85057807|KITLG,chr12,85057307,85057807,genic|chr12:85057307-85057807,genic,1.066571,1.137574,KITLG,88580473,,0.812428,True,3522916.0,False,0.00021,0.000411,0.0,,0.0,0.00021,0.00021,0.000224,6.9e-05,0.000438,1.8e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,1.066571,1.137574,,0.000332,0.000411,0.0,,0.0,0.000332,0.000332,0.000354,0.000144,0.000438,1.8e-05,0.0,3522.916,1.5809523809523809,0.6607939136808021,0.1989187889701171
genic|chr12:85076627-85077127|KITLG,chr12,85076627,85077127,genic|chr12:85076627-85077127,genic,2.776937,7.711379,KITLG,88580473,,0.812428,True,3503596.0,False,0.000211,0.000413,0.0,,0.0,0.000211,0.000211,0.000587,0.000182,0.001147,4.6e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,2.776937,7.711379,,0.000334,0.000413,0.0,,0.0,0.000334,0.000334,0.000927,0.000377,0.001147,4.6e-05,0.0,3503.596,1.5829383886255923,0.6626051037668663,0.1994640115138719
genic|chr12:85092538-85093608|KITLG,chr12,85092538,85093608,genic|chr12:85092538-85093608,genic,4.868037,23.697784,KITLG,88580473,,0.812428,True,3487400.0,False,0.000212,0.000415,0.0,,0.0,0.000212,0.000212,0.001033,0.00032,0.002018,8.1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,4.868037,23.697784,,0.000335,0.000415,0.0,,0.0,0.000335,0.000335,0.001631,0.000664,0.002018,8.1e-05,0.0,3487.4,1.580188679245283,0.6600968307819368,0.1987089461080935
genic|chr12:85138725-85139225|KITLG,chr12,85138725,85139225,genic|chr12:85138725-85139225,genic,0.669449,0.448162,KITLG,88580473,,0.812428,True,3441498.0,False,0.000215,0.000419,0.0,,0.0,0.000215,0.000215,0.000144,4.5e-05,0.000281,1.1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.669449,0.448162,,0.000339,0.000419,0.0,,0.0,0.000339,0.000339,0.000227,9.3e-05,0.000281,1.1e-05,0.0,3441.498,1.5767441860465117,0.6569486135468843,0.1977612382874767
genic|chr12:85155747-85156247|KITLG,chr12,85155747,85156247,genic|chr12:85155747-85156247,genic,0.765524,0.586027,KITLG,88580473,,0.812428,True,3424476.0,False,0.000216,0.000421,0.0,,0.0,0.000216,0.000216,0.000166,5.1e-05,0.000322,1.3e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.765524,0.586027,,0.000341,0.000421,0.000171,0.000171,0.000171,0.000341,0.000512,0.000392,0.00016,0.000322,1.3e-05,0.0,3424.476,2.3703703703703702,1.2451124978365318,0.3748162098249001
genic|chr12:85156366-85156866|KITLG,chr12,85156366,85156866,genic|chr12:85156366-85156866,genic,0.669449,0.448162,KITLG,88580473,,0.812428,True,3423857.0,False,0.000216,0.000421,0.0,,0.0,0.000216,0.000216,0.000145,4.5e-05,0.000282,1.1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.669449,0.448162,,0.000341,0.000421,0.000171,0.000171,0.000171,0.000341,0.000512,0.000343,0.00014,0.000282,1.1e-05,0.0,3423.857,2.3703703703703702,1.2451124978365318,0.3748162098249001
genic|chr12:85157185-85157685|KITLG,chr12,85157185,85157685,genic|chr12:85157185-85157685,genic,0.612853,0.375589,KITLG,88580473,,0.812428,True,3423038.0,False,0.000217,0.000421,0.0,,0.0,0.000217,0.000217,0.000133,4.1e-05,0.000258,1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.612853,0.375589,,0.000341,0.000421,0.000171,0.000171,0.000171,0.000341,0.000512,0.000314,0.000128,0.000258,1e-05,0.0,3423.038,2.359447004608295,1.2384487675555214,0.3728102271273013
promoter|chr12:85280007-85280507|KITLG,chr12,85280007,85280507,promoter|chr12:85280007-85280507,promoter,0.347554,0.120794,KITLG,88580473,,0.812428,True,3300216.0,False,0.000225,0.000435,0.0,,0.0,0.000225,0.000225,7.8e-05,2.4e-05,0.000151,6e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.347554,0.120794,,0.000353,0.000435,0.000206,0.000206,0.000206,0.000353,0.000559,0.000194,7.9e-05,0.000151,6e-06,0.0,3300.216,2.4844444444444447,1.3129232816261531,0.3952292897750604
intergenic|chr12:85310419-85310919|KITLG,chr12,85310419,85310919,intergenic|chr12:85310419-85310919,intergenic,0.434399,0.188702,KITLG,88580473,,0.812428,True,3269804.0,False,0.000227,0.000439,0.0,,0.0,0.000227,0.000227,9.9e-05,3.1e-05,0.00019,8e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.434399,0.188702,,0.000356,0.000439,0.0,,0.0,0.000356,0.000356,0.000155,6.3e-05,0.00019,8e-06,0.0,3269.804,1.5682819383259912,0.6491849436754826,0.1954241407797528
intergenic|chr12:85394721-85395221|KITLG,chr12,85394721,85395221,intergenic|chr12:85394721-85395221,intergenic,0.495552,0.245572,KITLG,88580473,,0.812428,True,3185502.0,False,0.000234,0.000449,0.0,,0.0,0.000234,0.000234,0.000116,3.6e-05,0.000222,9e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.495552,0.245572,,0.000365,0.000449,0.0,,0.0,0.000365,0.000365,0.000181,7.4e-05,0.000222,9e-06,0.0,3185.502,1.5598290598290598,0.6413879341839746,0.1930770070463316
intergenic|chr12:85424838-85425338|KITLG,chr12,85424838,85425338,intergenic|chr12:85424838-85425338,intergenic,0.787902,0.62079,KITLG,88580473,,0.812428,True,3155385.0,False,0.000236,0.000452,0.0,,0.0,0.000236,0.000236,0.000186,5.8e-05,0.000356,1.4e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.787902,0.62079,,0.000368,0.000452,0.000178,0.000178,0.000178,0.000368,0.000546,0.00043,0.000175,0.000356,1.4e-05,0.0,3155.385,2.313559322033899,1.2101140915580118,0.3642806397346305
intergenic|chr12:85441697-85442197|KITLG,chr12,85441697,85442197,intergenic|chr12:85441697-85442197,intergenic,0.576923,0.33284,KITLG,88580473,,0.812428,True,3138526.0,False,0.000237,0.000454,0.0,,0.0,0.000237,0.000237,0.000137,4.2e-05,0.000262,1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.576923,0.33284,,0.00037,0.000454,0.0,,0.0,0.00037,0.00037,0.000213,8.7e-05,0.000262,1e-05,0.0,3138.526,1.561181434599156,0.6426382116180545,0.193453378056891
intergenic|chr12:85448492-85448992|KITLG,chr12,85448492,85448992,intergenic|chr12:85448492-85448992,intergenic,0.509265,0.259351,KITLG,88580473,,0.812428,True,3131731.0,False,0.000238,0.000455,0.0,,0.0,0.000238,0.000238,0.000121,3.8e-05,0.000232,9e-06,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.509265,0.259351,,0.00037,0.000455,0.0,,0.0,0.00037,0.00037,0.000189,7.7e-05,0.000232,9e-06,0.0,3131.731,1.5546218487394956,0.6365636972083699,0.1916247670104831
intergenic|chr12:85465104-85465604|KITLG,chr12,85465104,85465604,intergenic|chr12:85465104-85465604,intergenic,0.61845,0.38248,KITLG,88580473,,0.812428,True,3115119.0,False,0.000239,0.000457,0.0,,0.0,0.000239,0.000239,0.000148,4.6e-05,0.000283,1.1e-05,HCT116_ENCFF166PCV_ENCFF799ZUN_ENCFF977FPK_ENCFF938MXK_RAD21-untreated,0.0,0.61845,0.38248,,0.000372,0.000457,0.0,,0.0,0.000372,0.000372,0.00023,9.4e-05,0.000283,1.1e-05,0.0,3115.119,1.5564853556485354,0.6382920031272832,0.1921450389337597
